otu	domain	phylum	order	class	family	genus	quality
OTU_132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|99
OTU_133	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_134	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|99
OTU_135	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Sarcina	|100
OTU_136	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|99
OTU_137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|92
OTU_138	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|88
OTU_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_140	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|84
OTU_141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|98
OTU_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|90
OTU_144	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_145	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
OTU_146	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|91
OTU_147	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|96
OTU_148	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|98
OTU_150	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
