gene	status
CYP4A11	candidate
CYP4B1	candidate
CYP4F22	candidate
CYP4Z1	candidate
CYP7B1	candidate
CYS1	candidate
DAAM1	candidate
DAB1	candidate
DAB2IP	candidate
DACH1	candidate
DACH2	candidate
DAO	candidate
DAZAP1	candidate
DBI	candidate
DBR1	candidate
DCAF1	candidate
DCAF15	candidate
DCAF4L2	candidate
DCHS1	candidate
DCK	candidate
DCLK1	candidate
DCLRE1A	candidate
DCLRE1C	candidate
DCSTAMP	candidate
DCTD	candidate
DCTN1	candidate
DDX17	candidate
DDX18	candidate
DDX20	candidate
DDX23	candidate
DDX25	candidate
DDX27	candidate
DDX41	candidate
DDX50	candidate
DDX51	candidate
DDX54	candidate
DDX55	candidate
DDX58	candidate
DDX60L	candidate
DEFB115	candidate
DEFB129	candidate
DENND2B	candidate
DENND4B	candidate
DEPDC4	candidate
DEPDC5	candidate
DERL1	candidate
DGAT2L6	candidate
DGKA	candidate
DGKB	candidate
DGKE	candidate
DGKI	candidate
DHRS1	candidate
DHX15	candidate
DHX16	candidate
DHX30	candidate
DHX35	candidate
DHX36	candidate
DHX58	candidate
DHX9	candidate
DIAPH1	candidate
DIAPH2	candidate
DIP2C	candidate
DIS3	candidate
DIS3L2	candidate
DISP1	candidate
DISP2	candidate
DISP3	candidate
DLC1	candidate
DLEC1	candidate
DLG2	candidate
DLG3	candidate
DLGAP5	candidate
DLK1	candidate
DLL1	candidate
DMD	candidate
DMXL1	candidate
DMXL2	candidate
DNAAF1	candidate
DNAAF5	candidate
DNAH1	candidate
DNAH12	candidate
DNAH14	candidate
DNAH2	candidate
DNAH3	candidate
DNAH7	candidate
DNAH8	candidate
DNAH9	candidate
DNAJB2	candidate
DNAJB9	candidate
DNAJC28	candidate
DNER	candidate
DNMBP	candidate
DNMT3B	candidate
DOCK2	candidate
DOCK4	candidate
DOCK8	candidate
DOK6	candidate
DOT1L	candidate
DPH3	candidate
DPP6	candidate
DPP7	candidate
DPPA4	candidate
DPY19L3	candidate
DPYD	candidate
DPYS	candidate
DRD3	candidate
DRD5	candidate
DSC1	candidate
DSC3	candidate
DSE	candidate
DSEL	candidate
DSG1	candidate
DSG4	candidate
DSP	candidate
DSPP	candidate
DST	candidate
DTHD1	candidate
DTL	candidate
DTNA	candidate
DTWD2	candidate
DTX1	candidate
DTX4	candidate
DUSP16	candidate
DUSP2	candidate
DUSP7	candidate
DUSP9	candidate
DUXA	candidate
DYNC1I1	candidate
DYNLL1	candidate
DYRK1A	candidate
DYSF	candidate
E2F2	candidate
E2F3	candidate
EAF2	candidate
ECT2	candidate
EDAR	candidate
EDC4	candidate
EDEM1	candidate
EDNRB	candidate
EEF1A1	candidate
EEF1D	candidate
EEF2	candidate
EEF2K	candidate
EFHD1	candidate
EFHD2	candidate
EFTUD2	candidate
EGR1	candidate
EGR2	candidate
EGR3	candidate
EI24	candidate
EIF2AK1	candidate
EIF2AK3	candidate
EIF2AK4	candidate
EIF2S2	candidate
EIF3A	candidate
EIF3G	candidate
EIF4A1	candidate
EIF4A2	candidate
EIF5A	candidate
ELAVL1	candidate
ELAVL2	candidate
ELAVL3	candidate
ELAVL4	candidate
ELF1	candidate
ELF5	candidate
ELMO1	candidate
ELMO3	candidate
ELN	candidate
ELOC	candidate
ELOF1	candidate
ELOVL3	candidate
EMG1	candidate
EML4	candidate
EML5	candidate
EN1	candidate
EN2	candidate
ENC1	candidate
ENTPD6	candidate
EOMES	candidate
EP400	candidate
EPB41	candidate
EPB41L3	candidate
EPC1	candidate
EPG5	candidate
EPHA1	candidate
EPHA2	candidate
EPHA4	candidate
EPHA5	candidate
EPHA6	candidate
EPHB1	candidate
EPHB4	candidate
EPHB6	candidate
EPPK1	candidate
EPRS1	candidate
EPS8L1	candidate
EPYC	candidate
ERBIN	candidate
ERCC6	candidate
ERCC6L2	candidate
ERF	candidate
ERGIC3	candidate
ERI1	candidate
ERN2	candidate
ERRFI1	candidate
ESPL1	candidate
ESRRG	candidate
ETS1	candidate
ETV3	candidate
EVC2	candidate
EVI2A	candidate
EVPL	candidate
EXOC2	candidate
EXOC7	candidate
EXOC8	candidate
EXPH5	candidate
EYA1	candidate
EYA4	candidate
EYS	candidate
EZH1	candidate
EZR	candidate
F5	candidate
F8	candidate
FAAH2	candidate
FAHD2B	candidate
FAM111A	candidate
FAM111B	candidate
FAM117A	candidate
FAM117B	candidate
FAM118B	candidate
FAM126B	candidate
FAM133A	candidate
FAM166A	candidate
FAM167A	candidate
FAM171A1	candidate
FAM171B	candidate
FAM177B	candidate
FAM221B	candidate
FAM227B	candidate
FAM234A	candidate
FAM241A	candidate
FAM50A	candidate
FAM72D	candidate
FAM78B	candidate
FAM83B	candidate
FANCM	candidate
FANK1	candidate
FAT2	candidate
FBF1	candidate
FBH1	candidate
FBLN1	candidate
FBN2	candidate
FBN3	candidate
FBRSL1	candidate
FBXL17	candidate
FBXO28	candidate
FBXO31	candidate
FBXO32	candidate
FBXO40	candidate
FBXO5	candidate
FBXO9	candidate
FBXW5	candidate
FCER1A	candidate
FCF1	candidate
FCGR3A	candidate
FCRL1	candidate
FCSK	candidate
FDX1	candidate
FDXR	candidate
FEM1A	candidate
FERD3L	candidate
FGA	candidate
FGB	candidate
FGF19	candidate
FGF2	candidate
FGF5	candidate
FGFBP1	candidate
FHOD1	candidate
FIGNL1	candidate
FILIP1L	candidate
FIZ1	candidate
FLG	candidate
FLII	candidate
FLRT2	candidate
FLT1	candidate
FLYWCH1	candidate
FMN2	candidate
FMNL3	candidate
FMR1	candidate
FN3KRP	candidate
FNBP1L	candidate
FOLH1	candidate
FOXA2	candidate
FOXB2	candidate
FOXE1	candidate
