otu	domain	phylum	order	class	family	genus	quality
OTU_42	OTU_42	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_43	OTU_43	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Parasutterella	|100
OTU_44	OTU_44	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|83
OTU_45	OTU_45	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|95
OTU_46	OTU_46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|98
OTU_47	OTU_47	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_48	OTU_48	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|100
OTU_49	OTU_49	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_50	OTU_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|99
OTU_51	OTU_51	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	|100
OTU_52	OTU_52	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_53	OTU_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|95
OTU_54	OTU_54	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|96
OTU_55	OTU_55	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_56	OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|96
OTU_57	OTU_57	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|98
OTU_58	OTU_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|71
OTU_59	OTU_59	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	|100
OTU_60	OTU_60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_61	OTU_61	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_62	OTU_62	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|80
OTU_63	OTU_63	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|93
OTU_64	OTU_64	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|94
OTU_65	OTU_65	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
