otu	domain	phylum	order	class	family	genus	quality
OTU_490	OTU_490	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	|100
OTU_491	OTU_491	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|98
OTU_492	OTU_492	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_493	OTU_493	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|99
OTU_494	OTU_494	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_495	OTU_495	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	|100
OTU_496	OTU_496	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|77
OTU_497	OTU_497	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
OTU_498	OTU_498	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_499	OTU_499	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|89
OTU_500	OTU_500	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
OTU_501	OTU_501	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_502	OTU_502	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
OTU_503	OTU_503	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|99
OTU_504	OTU_504	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_505	OTU_505	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|86
OTU_506	OTU_506	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|83
OTU_507	OTU_507	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|96
OTU_508	OTU_508	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_509	OTU_509	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
OTU_510	OTU_510	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|92
OTU_512	OTU_512	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|95
OTU_515	OTU_515	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
OTU_516	OTU_516	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	|99
OTU_517	OTU_517	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|84
OTU_518	OTU_518	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	|99
OTU_519	OTU_519	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|86
OTU_520	OTU_520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|98
OTU_521	OTU_521	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|99
OTU_522	OTU_522	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	|100
OTU_523	OTU_523	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_524	OTU_524	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|99
OTU_525	OTU_525	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	|100
OTU_527	OTU_527	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_528	OTU_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	|94
OTU_529	OTU_529	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_530	OTU_530	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Coprobacter	|100
OTU_531	OTU_531	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_532	OTU_532	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_533	OTU_533	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_534	OTU_534	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_535	OTU_535	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_536	OTU_536	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_537	OTU_537	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_538	OTU_538	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	|70
OTU_539	OTU_539	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	unclassified	|100
OTU_540	OTU_540	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_541	OTU_541	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|92
OTU_542	OTU_542	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|95
OTU_543	OTU_543	Bacteria	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	|100
OTU_544	OTU_544	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_545	OTU_545	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	|100
OTU_546	OTU_546	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|97
OTU_547	OTU_547	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|100
OTU_548	OTU_548	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	|100
OTU_549	OTU_549	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	|96
OTU_550	OTU_550	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	|78
OTU_551	OTU_551	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	|100
OTU_552	OTU_552	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	|100
OTU_553	OTU_553	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_555	OTU_555	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	|100
OTU_556	OTU_556	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|86
OTU_557	OTU_557	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|79
OTU_558	OTU_558	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|89
OTU_559	OTU_559	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|96
OTU_560	OTU_560	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|90
OTU_561	OTU_561	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|71
OTU_562	OTU_562	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|100
OTU_563	OTU_563	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|92
OTU_564	OTU_564	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	|100
OTU_565	OTU_565	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	|100
OTU_566	OTU_566	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_567	OTU_567	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_568	OTU_568	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_569	OTU_569	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_570	OTU_570	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_571	OTU_571	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|98
OTU_572	OTU_572	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_573	OTU_573	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|87
OTU_574	OTU_574	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|99
OTU_575	OTU_575	Bacteria	Firmicutes	Bacilli	Bacillales	unclassified	unclassified	|99
OTU_577	OTU_577	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	|100
OTU_578	OTU_578	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	|74
OTU_579	OTU_579	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_580	OTU_580	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	|100
OTU_581	OTU_581	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|96
OTU_582	OTU_582	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	|98
OTU_583	OTU_583	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	|100
OTU_584	OTU_584	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	unclassified	unclassified	|83
OTU_585	OTU_585	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_586	OTU_586	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	|100
OTU_587	OTU_587	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_588	OTU_588	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	|97
OTU_589	OTU_589	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|70
OTU_590	OTU_590	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|73
OTU_591	OTU_591	Bacteria	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	|100
OTU_592	OTU_592	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	|79
OTU_593	OTU_593	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|98
OTU_594	OTU_594	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_595	OTU_595	unknown	unclassified	unclassified	unclassified	unclassified	unclassified	|0
OTU_596	OTU_596	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	|78
OTU_597	OTU_597	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_598	OTU_598	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Parvimonas	|100
OTU_599	OTU_599	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|97
OTU_600	OTU_600	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	|99
OTU_601	OTU_601	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|83
OTU_602	OTU_602	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|73
OTU_603	OTU_603	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|90
OTU_604	OTU_604	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
OTU_605	OTU_605	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_606	OTU_606	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	|100
OTU_607	OTU_607	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_608	OTU_608	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|92
OTU_609	OTU_609	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|100
OTU_610	OTU_610	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified	unclassified	|71
OTU_611	OTU_611	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	|100
OTU_612	OTU_612	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|84
OTU_613	OTU_613	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|98
OTU_614	OTU_614	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	unclassified	|100
OTU_616	OTU_616	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	|100
OTU_617	OTU_617	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|70
OTU_619	OTU_619	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|96
OTU_621	OTU_621	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	|100
OTU_624	OTU_624	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	|89
OTU_626	OTU_626	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	|81
OTU_627	OTU_627	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	|100
OTU_628	OTU_628	Eukaryota	unclassified	unclassified	unclassified	unclassified	unclassified	|84
OTU_629	OTU_629	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	|100
OTU_630	OTU_630	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	|100
OTU_631	OTU_631	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
OTU_632	OTU_632	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	|99
OTU_633	OTU_633	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	|96
OTU_634	OTU_634	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_635	OTU_635	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	|100
OTU_636	OTU_636	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_638	OTU_638	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	unclassified	|73
OTU_639	OTU_639	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|92
OTU_640	OTU_640	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|92
OTU_641	OTU_641	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|97
OTU_642	OTU_642	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	|100
OTU_643	OTU_643	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_644	OTU_644	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Gelria	|81
OTU_646	OTU_646	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	|72
OTU_648	OTU_648	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_650	OTU_650	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_651	OTU_651	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Negativicoccus	|100
OTU_652	OTU_652	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	unclassified	unclassified	|100
OTU_653	OTU_653	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	|81
OTU_654	OTU_654	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	|80
OTU_655	OTU_655	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	|100
OTU_656	OTU_656	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|76
OTU_657	OTU_657	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|98
OTU_660	OTU_660	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	|85
OTU_661	OTU_661	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|76
OTU_662	OTU_662	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|74
OTU_663	OTU_663	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|94
OTU_664	OTU_664	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	|100
OTU_665	OTU_665	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|92
OTU_666	OTU_666	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|97
OTU_667	OTU_667	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|81
OTU_668	OTU_668	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	RC9_gut_group	|99
OTU_670	OTU_670	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|93
OTU_671	OTU_671	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	|90
OTU_672	OTU_672	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	|99
OTU_673	OTU_673	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_674	OTU_674	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|91
OTU_675	OTU_675	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	|100
OTU_676	OTU_676	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|89
OTU_677	OTU_677	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|70
OTU_678	OTU_678	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
OTU_679	OTU_679	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_680	OTU_680	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	|100
OTU_682	OTU_682	Bacteria	Tenericutes	Mollicutes	unclassified	unclassified	unclassified	|81
OTU_684	OTU_684	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_685	OTU_685	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	RC9_gut_group	|72
OTU_686	OTU_686	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	unclassified	|100
OTU_687	OTU_687	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_688	OTU_688	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	|100
OTU_690	OTU_690	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_692	OTU_692	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetanaerobacterium	|100
OTU_693	OTU_693	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	unclassified	|73
OTU_694	OTU_694	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	|100
OTU_695	OTU_695	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	|100
OTU_696	OTU_696	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|82
OTU_697	OTU_697	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|99
OTU_698	OTU_698	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|98
OTU_699	OTU_699	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_700	OTU_700	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Gordonibacter	|99
OTU_701	OTU_701	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	|90
OTU_702	OTU_702	Bacteria	Proteobacteria	Deltaproteobacteria	unclassified	unclassified	unclassified	|73
OTU_703	OTU_703	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	|100
OTU_704	OTU_704	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_705	OTU_705	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Synergistes	|100
OTU_706	OTU_706	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|71
OTU_707	OTU_707	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_708	OTU_708	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_709	OTU_709	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella	|100
OTU_710	OTU_710	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	|100
OTU_712	OTU_712	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|95
OTU_713	OTU_713	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|84
OTU_715	OTU_715	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	|78
OTU_716	OTU_716	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	|100
OTU_717	OTU_717	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	|100
OTU_718	OTU_718	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified	unclassified	|92
OTU_719	OTU_719	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|95
OTU_720	OTU_720	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_722	OTU_722	Bacteria	Cyanobacteria	Chloroplast	unclassified	unclassified	unclassified	|100
OTU_723	OTU_723	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|87
OTU_724	OTU_724	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_725	OTU_725	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_726	OTU_726	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	|100
OTU_727	OTU_727	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	|83
OTU_728	OTU_728	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|97
OTU_729	OTU_729	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	|100
OTU_730	OTU_730	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|76
OTU_731	OTU_731	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|72
OTU_732	OTU_732	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	|70
OTU_733	OTU_733	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|82
OTU_734	OTU_734	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas	|100
OTU_735	OTU_735	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	|74
OTU_736	OTU_736	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	|100
OTU_737	OTU_737	Bacteria	Verrucomicrobia	Opitutae	unclassified	unclassified	unclassified	|82
OTU_738	OTU_738	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|98
OTU_739	OTU_739	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	|93
OTU_740	OTU_740	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	|100
OTU_741	OTU_741	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_742	OTU_742	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|71
OTU_743	OTU_743	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_745	OTU_745	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	|78
OTU_746	OTU_746	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	|98
OTU_747	OTU_747	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|98
OTU_748	OTU_748	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	|99
OTU_749	OTU_749	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|79
OTU_750	OTU_750	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|84
OTU_751	OTU_751	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified	|88
OTU_752	OTU_752	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|97
OTU_754	OTU_754	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_755	OTU_755	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_756	OTU_756	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	|100
OTU_757	OTU_757	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	unclassified	|90
