Gene stable ID version	Gene stable ID	HGNC symbol	HGNC ID	Gene name	Gene description
ENSG00000164099.4	ENSG00000164099	PRSS12	HGNC:9477	PRSS12	serine protease 12 
ENSG00000164100.10	ENSG00000164100	NDST3	HGNC:7682	NDST3	N-deacetylase and N-sulfotransferase 3 
ENSG00000164104.13	ENSG00000164104	HMGB2	HGNC:5000	HMGB2	high mobility group box 2 
ENSG00000164105.5	ENSG00000164105	SAP30	HGNC:10532	SAP30	Sin3A associated protein 30 
ENSG00000164106.9	ENSG00000164106	SCRG1	HGNC:17036	SCRG1	stimulator of chondrogenesis 1 
ENSG00000164107.9	ENSG00000164107	HAND2	HGNC:4808	HAND2	heart and neural crest derivatives expressed 2 
ENSG00000164109.15	ENSG00000164109	MAD2L1	HGNC:6763	MAD2L1	mitotic arrest deficient 2 like 1 
ENSG00000164111.16	ENSG00000164111	ANXA5	HGNC:543	ANXA5	annexin A5 
ENSG00000164114.20	ENSG00000164114	MAP9	HGNC:26118	MAP9	microtubule associated protein 9 
ENSG00000164116.18	ENSG00000164116	GUCY1A1	HGNC:4685	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 
ENSG00000164117.15	ENSG00000164117	FBXO8	HGNC:13587	FBXO8	F-box protein 8 
ENSG00000164118.14	ENSG00000164118	CEP44	HGNC:29356	CEP44	centrosomal protein 44 
ENSG00000164120.14	ENSG00000164120	HPGD	HGNC:5154	HPGD	15-hydroxyprostaglandin dehydrogenase 
ENSG00000164124.12	ENSG00000164124	TMEM144	HGNC:25633	TMEM144	transmembrane protein 144 
ENSG00000164125.17	ENSG00000164125	GASK1B	HGNC:25312	GASK1B	golgi associated kinase 1B 
ENSG00000164128.8	ENSG00000164128	NPY1R	HGNC:7956	NPY1R	neuropeptide Y receptor Y1 
ENSG00000164129.13	ENSG00000164129	NPY5R	HGNC:7958	NPY5R	neuropeptide Y receptor Y5 
ENSG00000164134.15	ENSG00000164134	NAA15	HGNC:30782	NAA15	"N-alpha-acetyltransferase 15, NatA auxiliary subunit "
ENSG00000164136.18	ENSG00000164136	IL15	HGNC:5977	IL15	interleukin 15 
ENSG00000164142.17	ENSG00000164142	FHIP1A	HGNC:34237	FHIP1A	FHF complex subunit HOOK interacting protein 1A 
ENSG00000164144.17	ENSG00000164144	ARFIP1	HGNC:21496	ARFIP1	ARF interacting protein 1 
ENSG00000164151.12	ENSG00000164151	ICE1	HGNC:29154	ICE1	interactor of little elongation complex ELL subunit 1 
ENSG00000164161.11	ENSG00000164161	HHIP	HGNC:14866	HHIP	hedgehog interacting protein 
ENSG00000164162.15	ENSG00000164162	ANAPC10	HGNC:24077	ANAPC10	anaphase promoting complex subunit 10 
ENSG00000164163.12	ENSG00000164163	ABCE1	HGNC:69	ABCE1	ATP binding cassette subfamily E member 1 
ENSG00000164164.18	ENSG00000164164	OTUD4	HGNC:24949	OTUD4	OTU deubiquitinase 4 
ENSG00000164167.14	ENSG00000164167	LSM6	HGNC:17017	LSM6	"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated "
ENSG00000164168.9	ENSG00000164168	TMEM184C	HGNC:25587	TMEM184C	transmembrane protein 184C 
ENSG00000164169.14	ENSG00000164169	PRMT9	HGNC:25099	PRMT9	protein arginine methyltransferase 9 
ENSG00000164171.12	ENSG00000164171	ITGA2	HGNC:6137	ITGA2	integrin subunit alpha 2 
ENSG00000164172.21	ENSG00000164172	MOCS2	HGNC:7193	MOCS2	molybdenum cofactor synthesis 2 
ENSG00000164176.14	ENSG00000164176	EDIL3	HGNC:3173	EDIL3	EGF like repeats and discoidin domains 3 
ENSG00000164180.16	ENSG00000164180	TMEM161B	HGNC:28483	TMEM161B	transmembrane protein 161B 
ENSG00000164181.15	ENSG00000164181	ELOVL7	HGNC:26292	ELOVL7	ELOVL fatty acid elongase 7 
ENSG00000164182.13	ENSG00000164182	NDUFAF2	HGNC:28086	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2 
ENSG00000164185.8	ENSG00000164185	ZNF474	HGNC:23245	ZNF474	zinc finger protein 474 
ENSG00000164187.8	ENSG00000164187	LMBRD2	HGNC:25287	LMBRD2	LMBR1 domain containing 2 
ENSG00000164188.10	ENSG00000164188	RANBP3L	HGNC:26353	RANBP3L	RAN binding protein 3 like 
ENSG00000164190.19	ENSG00000164190	NIPBL	HGNC:28862	NIPBL	NIPBL cohesin loading factor 
ENSG00000164197.13	ENSG00000164197	RNF180	HGNC:27752	RNF180	ring finger protein 180 
ENSG00000164199.18	ENSG00000164199	ADGRV1	HGNC:17416	ADGRV1	adhesion G protein-coupled receptor V1 
ENSG00000164209.18	ENSG00000164209	SLC25A46	HGNC:25198	SLC25A46	solute carrier family 25 member 46 
