cell	group	reads
R1910	CytotoxicT	2068
R1912	CytotoxicT	2713
R1913	CytotoxicT	2076
R1914	CytotoxicT	1771
R1915	CytotoxicT	1843
R1918	CytotoxicT	1726
R1920	CytotoxicT	1776
R1934	CytotoxicT	1785
R1944	CytotoxicT	2682
R1947	CytotoxicT	1799
R1948	CytotoxicT	1712
R1954	CytotoxicT	1975
R1956	CytotoxicT	2041
R1964	CytotoxicT	2308
R1967	CytotoxicT	1817
R1971	CytotoxicT	2762
R1972	CytotoxicT	1761
R1973	CytotoxicT	3180
R1977	CytotoxicT	1797
R1988	CytotoxicT	1919
R1990	CytotoxicT	1757
R1991	CytotoxicT	3145
R1994	CytotoxicT	1785
R1995	CytotoxicT	1752
R1998	CytotoxicT	1694
R2008	CytotoxicT	1779
R2011	CytotoxicT	1754
R2012	CytotoxicT	1949
R2014	CytotoxicT	3233
R2015	CytotoxicT	1997
R2018	CytotoxicT	1881
R2019	CytotoxicT	1998
R2021	CytotoxicT	1805
R2027	CytotoxicT	1850
R2030	CytotoxicT	1693
R2035	CytotoxicT	2055
R2037	CytotoxicT	1895
R2044	CytotoxicT	1833
R2047	CytotoxicT	2027
R2050	CytotoxicT	2817
R2051	CytotoxicT	2008
R2055	CytotoxicT	2013
R2056	CytotoxicT	2128
R2059	CytotoxicT	1857
R2064	CytotoxicT	1967
R2067	CytotoxicT	2084
R2080	CytotoxicT	2190
R2086	CytotoxicT	3032
R2089	CytotoxicT	1937
R2094	CytotoxicT	1796
R2100	CytotoxicT	2681
R2111	CytotoxicT	1742
R2113	CytotoxicT	1825
R2117	CytotoxicT	2512
R2119	CytotoxicT	1879
R2120	CytotoxicT	1749
R2124	CytotoxicT	1991
R2128	CytotoxicT	1739
R2133	CytotoxicT	2062
R2137	CytotoxicT	1813
R2140	CytotoxicT	2766
R2141	CytotoxicT	1781
R2142	CytotoxicT	2309
R2150	CytotoxicT	3288
R2157	CytotoxicT	2824
R2166	CytotoxicT	2066
R2168	CytotoxicT	1840
R2171	CytotoxicT	1831
R2174	CytotoxicT	1759
R2177	CytotoxicT	2624
R2178	CytotoxicT	2571
R2185	CytotoxicT	1961
R2192	CytotoxicT	1738
R2193	CytotoxicT	1751
R2196	CytotoxicT	1899
R2197	CytotoxicT	2778
R2199	CytotoxicT	1831
R2202	CytotoxicT	1937
R2203	CytotoxicT	2944
R2213	CytotoxicT	1808
R2215	CytotoxicT	1919
R2218	CytotoxicT	2138
R2220	CytotoxicT	1719
R2235	CytotoxicT	1864
R2239	CytotoxicT	1815
R2242	CytotoxicT	2823
R2245	CytotoxicT	2778
R2251	CytotoxicT	2307
R2253	CytotoxicT	1908
R2255	CytotoxicT	2268
R2256	CytotoxicT	1891
R2263	CytotoxicT	2438
R2264	CytotoxicT	1842
R2266	CytotoxicT	2733
R2270	CytotoxicT	2272
R2273	CytotoxicT	1947
R2281	CytotoxicT	2157
R2284	CytotoxicT	1680
R2291	CytotoxicT	1861
R2298	CytotoxicT	1777
R2303	CytotoxicT	2998
R2309	CytotoxicT	2529
R2310	CytotoxicT	1843
R2313	CytotoxicT	1813
R2314	CytotoxicT	1969
R2315	CytotoxicT	1742
R2318	CytotoxicT	2090
R2319	CytotoxicT	2370
R2325	CytotoxicT	1730
R2331	CytotoxicT	1874
R2332	CytotoxicT	1779
R2336	CytotoxicT	1827
R2337	CytotoxicT	1759
R2341	CytotoxicT	2914
R2344	CytotoxicT	1807
R2346	CytotoxicT	1825
R2352	CytotoxicT	1829
R2358	CytotoxicT	1806
R2363	CytotoxicT	1794
R2367	CytotoxicT	2091
R2368	CytotoxicT	1915
R2369	CytotoxicT	2725
R2370	CytotoxicT	1875
R2375	CytotoxicT	1856
R2382	CytotoxicT	1700
R2383	CytotoxicT	1909
R2393	CytotoxicT	1873
R2395	CytotoxicT	1769
R2396	CytotoxicT	1980
R2399	CytotoxicT	1623
R2400	CytotoxicT	1918
R2411	CytotoxicT	1736
R2414	CytotoxicT	2631
R2428	CytotoxicT	2984
R2437	CytotoxicT	1714
R2443	CytotoxicT	1692
R2444	CytotoxicT	2610
R2445	CytotoxicT	1981
R2450	CytotoxicT	1861
R2456	CytotoxicT	3450
R2462	CytotoxicT	1832
R2464	CytotoxicT	1969
R2469	CytotoxicT	1904
R2476	CytotoxicT	1767
R2478	CytotoxicT	1690
R2479	CytotoxicT	1770
R2488	CytotoxicT	2614
R2499	CytotoxicT	2321
R2500	CytotoxicT	1842
R2504	CytotoxicT	1763
R2513	CytotoxicT	2936
R2516	CytotoxicT	1794
R2524	CytotoxicT	1866
R2525	CytotoxicT	1753
R2533	CytotoxicT	1695
R2537	CytotoxicT	1918
R2543	CytotoxicT	2447
R2544	CytotoxicT	2932
R2547	CytotoxicT	2274
R2551	CytotoxicT	1777
R2558	CytotoxicT	2643
R2559	CytotoxicT	1990
R2576	CytotoxicT	1858
R2579	CytotoxicT	1719
R2583	CytotoxicT	2130
R2586	CytotoxicT	2125
R2590	CytotoxicT	1890
R2591	CytotoxicT	1765
R2596	CytotoxicT	1897
R2599	CytotoxicT	2130
R2601	CytotoxicT	1709
R2616	CytotoxicT	1756
R2618	CytotoxicT	1709
R2620	CytotoxicT	1862
R2621	CytotoxicT	1747
R2622	CytotoxicT	1795
R2623	CytotoxicT	1846
R2634	CytotoxicT	2758
R2635	CytotoxicT	1948
R2637	CytotoxicT	1827
R2638	CytotoxicT	2588
R2647	CytotoxicT	1776
R2654	CytotoxicT	1699
R2657	CytotoxicT	1740
R2662	CytotoxicT	1771
R2676	CytotoxicT	1999
R2679	CytotoxicT	2676
R2680	CytotoxicT	1769
R2686	CytotoxicT	4083
R2689	CytotoxicT	2840
R2690	CytotoxicT	1777
R2701	CytotoxicT	3716
R2705	CytotoxicT	1913
R2706	CytotoxicT	2674
R2709	CytotoxicT	1876
R2716	CytotoxicT	1743
R2720	CytotoxicT	3557
R2733	CytotoxicT	1776
R2736	CytotoxicT	1797
R2750	CytotoxicT	2403
R2759	CytotoxicT	1820
R2760	CytotoxicT	2817
R2772	CytotoxicT	1945
R2776	CytotoxicT	1919
R2779	CytotoxicT	2055
R2780	CytotoxicT	1764
R2781	CytotoxicT	1772
R2782	CytotoxicT	1913
R2787	CytotoxicT	1944
R2791	CytotoxicT	1886
R2795	CytotoxicT	1762
R2800	CytotoxicT	1737
R2805	CytotoxicT	2692
R2814	CytotoxicT	2194
R2818	CytotoxicT	1833
R2821	CytotoxicT	2476
R2826	CytotoxicT	1803
R2851	CytotoxicT	2083
R2853	CytotoxicT	1739
R2861	CytotoxicT	2251
R2862	CytotoxicT	2896
R2864	CytotoxicT	1891
R2865	CytotoxicT	1983
R2868	CytotoxicT	1771
R2871	CytotoxicT	2460
R2874	CytotoxicT	1708
R2877	CytotoxicT	1714
R2887	CytotoxicT	2164
R2889	CytotoxicT	1650
R2895	CytotoxicT	1992
R2898	CytotoxicT	1746
R2901	CytotoxicT	1909
R2903	CytotoxicT	1798
R2910	CytotoxicT	1835
R2912	CytotoxicT	1808
R2913	CytotoxicT	1890
R2916	CytotoxicT	1903
R2919	CytotoxicT	1906
R2929	CytotoxicT	2080
R2933	CytotoxicT	2277
R2935	CytotoxicT	1839
R2939	CytotoxicT	2592
R2941	CytotoxicT	1810
R2943	CytotoxicT	1732
R2948	CytotoxicT	2970
R2952	CytotoxicT	1953
R2954	CytotoxicT	1751
R2958	CytotoxicT	2470
R2961	CytotoxicT	1924
R2962	CytotoxicT	1936
R2971	CytotoxicT	2141
R2977	CytotoxicT	1863
R2978	CytotoxicT	1743
R2985	CytotoxicT	2293
R2988	CytotoxicT	1826
R2990	CytotoxicT	1890
R2994	CytotoxicT	2006
R3007	CytotoxicT	2085
R3008	CytotoxicT	2022
R3009	CytotoxicT	2392
R3014	CytotoxicT	1753
R3017	CytotoxicT	2303
R3020	CytotoxicT	2119
R3021	CytotoxicT	2224
R3028	CytotoxicT	1975
R3030	CytotoxicT	2463
R3034	CytotoxicT	2925
R3037	CytotoxicT	2182
R3039	CytotoxicT	1720
R3044	CytotoxicT	2520
R3046	CytotoxicT	1851
R3048	CytotoxicT	2378
R3053	CytotoxicT	1689
R3057	CytotoxicT	2001
R3061	CytotoxicT	2645
R3064	CytotoxicT	1755
R3069	CytotoxicT	2431
R3078	CytotoxicT	1755
R3079	CytotoxicT	3218
R3084	CytotoxicT	1979
R3086	CytotoxicT	1786
R3090	CytotoxicT	1910
R3091	CytotoxicT	2685
R3099	CytotoxicT	1846
R3102	CytotoxicT	2257
R3105	CytotoxicT	2117
R3108	CytotoxicT	3142
R3110	CytotoxicT	1855
R3114	CytotoxicT	1837
R3115	CytotoxicT	1978
R3120	CytotoxicT	2643
R3121	CytotoxicT	2697
R3122	CytotoxicT	1996
R3124	CytotoxicT	1892
R3127	CytotoxicT	2477
R3128	CytotoxicT	1890
R3138	CytotoxicT	1694
R3139	CytotoxicT	1900
R3140	CytotoxicT	1817
R3151	CytotoxicT	2989
R3156	CytotoxicT	2167
R3157	CytotoxicT	1727
R3170	CytotoxicT	2418
R3173	CytotoxicT	1800
R3175	CytotoxicT	1988
R3179	CytotoxicT	2254
R3183	CytotoxicT	1710
R3185	CytotoxicT	1711
R3190	CytotoxicT	1930
R3197	CytotoxicT	1952
R3199	CytotoxicT	1717
R3201	CytotoxicT	1984
R3202	CytotoxicT	2846
R3203	CytotoxicT	2047
R3204	CytotoxicT	1749
R3210	CytotoxicT	2181
R3212	CytotoxicT	2653
R3213	CytotoxicT	2268
R3215	CytotoxicT	2045
R3216	CytotoxicT	2857
R3221	CytotoxicT	2179
R3222	CytotoxicT	2460
R3226	CytotoxicT	2005
R3237	CytotoxicT	2180
R3262	CytotoxicT	3070
R3269	CytotoxicT	1835
R3282	CytotoxicT	2349
R3284	CytotoxicT	1870
R3285	CytotoxicT	2084
R3286	CytotoxicT	1814
R3287	CytotoxicT	1980
R3288	CytotoxicT	2102
R3294	CytotoxicT	1824
R3299	CytotoxicT	3995
