ko.id	ko.desc	ko.sym	ko.ec	path.id	path.desc	path.type	b.id	b.desc	a.id	a.desc
K26577	colibactin biosynthesis hybrid nonribosomal peptide/polyketide synthase	clbK		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26578	colibactin biosynthesis nonribosomal peptide synthase	clbJ		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26579	colibactin biosynthesis peptidase	clbP		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26580	MFS transporter, ACS family, inner membrane transport protein	rhmT		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26581	BTB/POZ domain-containing protein KCTD19	KCTD19		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26582	mitotic deacetylase-associated SANT domain protein	MIDEAS, ELMSAN1		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26583	transcriptional-regulating factor 1	TRERF1		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26584	zinc finger protein 541	ZNF541		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26585	methyl-CpG-binding domain protein 6	MBD6		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26586	acetylcholinesterase collagenic tail peptide	COLQ		ko00536	Glycosaminoglycan binding proteins	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26587	Potexvirus coat protein	CP		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26588	Tobravirus coat protein	CP		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26589	Tymovirus coat protein	CP		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26590	mycolic acid methyltransferase UmaA	umaA	2.1.1.-	map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26591	cyclopropane mycolic acid synthase PcaA	pcaA, umaA2		map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26592	hydroxy mycolic acid synthase MmaA4	mmaA4, hma		map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26593	methoxy mycolic acid synthase MmaA3	mmaA3		map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26594	mycolic acid methyltransferase MmaA1	mmaA1	2.1.1.-	map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26595	cyclopropane mycolic acid synthase MmaA2	mmaA2		map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26596	cyclopropane mycolic acid synthase CmaA2	cmaA2		map00074	Mycolic acid biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K26597	cyclopropane mycolic acid synthase CmaA1	cmaA1		99983	Lipid metabolism	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26598	heat shock 70kDa protein 2	HSPA2		ko03110	Chaperones and folding catalysts	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26599	HTH-type transcriptional regulator, activator of D-glucose/D-fructose catabolism	gfcR		ko03000	Transcription factors	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26600	TLC domain-containing protein 3	TLCD3		99983	Lipid metabolism	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26601	Lrp/AsnC family transcriptional regulator, repressor for azl operon	azlB		ko03000	Transcription factors	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26602	MFS transporter, GlpU family, inner membrane protein	yihN		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26603	inner membrane transport protein	yhjV		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26604	cysteine uptake transport protein	cyuP		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
