entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000226674	0.3	TEX41	testis expressed 41 [Source:HGNC Symbol;Acc:HGNC:48667]	n/a	-0.753591980918214	1.30423171012689	2.90331020635011e-07	0.00363985233645933	0.0401006330208444	0.135027811276741	0.208519971381296	0.257125866305463
ENSG00000226738	0.3	NA	NA	n/a	0.913315024649286	3.33848453649206	0.00224101869857443	0.00382709564258809	0.0172076263005626	0.0792578395207634	0.132758647101304	0.182438377662663
ENSG00000226745	0.3	OAZ1P1	OAZ1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54556]	n/a	-1.84175756713486	4.98925441542004	0.00941027009024623	0.0160504386782652	0.045987539697924	0.0911194312994867	0.151451222656945	0.207545625897368
ENSG00000226791	0.3	LINC02611	long intergenic non-protein coding RNA 2611 [Source:HGNC Symbol;Acc:HGNC:54060]	n/a	0.67913277040007	1.44310460184172	2.03381546391284e-06	2.25201013711867e-05	0.00220613899771126	0.0616334577722781	0.124939845173094	0.17244020254207
ENSG00000226816	0.3		novel transcript	n/a	-0.86307785545146	1.60462998470712	3.59042398229991e-06	0.00118635978846575	0.020109019841508	0.0794573325253755	0.155993925151761	0.220940572687289
ENSG00000226986	0.3	PRELID1P5	PRELID1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54770]	n/a	0.745400066419583	1.59614709750454	0.000140411614430599	0.000799473521231788	0.0319074521989337	0.136240091731346	0.188781132176393	0.235004263077376
ENSG00000227057	0.3	WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]	n/a	0.604426912733206	0.707191485587908	5.95569627792551e-17	6.63060080633416e-09	0.00740760435235908	0.108311622834127	0.167398226685656	0.207706430321839
ENSG00000227262	0.3	HCG4B	HLA complex group 4B [Source:HGNC Symbol;Acc:HGNC:22919]	n/a	-0.824404175925379	1.42598615032213	8.28498089151166e-09	0.000161961563108527	0.0165612223102873	0.0555875900764277	0.123818360819399	0.192284133030958
ENSG00000227359	0.3	LINC02936	long intergenic non-protein coding RNA 2936 [Source:HGNC Symbol;Acc:HGNC:55940]	n/a	0.92360505508991	1.56937678700701	5.48440162434861e-07	9.50497983443308e-06	0.00195207523296489	0.0624236327232337	0.126572356523868	0.17030174974999
ENSG00000227500	0.3	SCAMP4	secretory carrier membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:30385]	n/a	0.622737420876078	0.715291488036233	5.72504391746505e-15	9.62933053539493e-08	0.0193153011611593	0.12268182418818	0.182094720526974	0.214324168726926
